pdf	median
0.0004797581	763637.856423
0.0004785744	767811.784442
0.0004773969	771996.021715
0.0004762254	776190.565431
0.0004750601	780395.412799
0.0004739007	784610.561056
0.0004727473	788836.007459
0.0004715998	793071.749289
0.0004704581	797317.783849
0.0004693222	801574.108467
0.0004681921	805840.720492
0.0004670678	810117.617296
0.0004659490	814404.796272
0.0004648360	818702.254838
0.0004637284	823009.990432
0.0004626265	827328.000513
0.0004615300	831656.282563
0.0004604389	835994.834085
0.0004593533	840343.652603
0.0004582731	844702.735664
0.0004571981	849072.080833
0.0004561285	853451.685699
0.0004550640	857841.547868
0.0004540048	862241.664970
0.0004529508	866652.034655
0.0004519018	871072.654590
0.0004508580	875503.522466
0.0004498191	879944.635993
0.0004487853	884395.992898
0.0004477565	888857.590932
0.0004467326	893329.427863
0.0004457135	897811.501478
0.0004446993	902303.809585
0.0004436900	906806.350010
0.0004426854	911319.120598
0.0004416856	915842.119214
0.0004406905	920375.343740
0.0004397000	924918.792079
0.0004387142	929472.462149
0.0004377330	934036.351890
0.0004367564	938610.459258
0.0004357843	943194.782227
0.0004348168	947789.318791
0.0004338537	952394.066960
0.0004328950	957009.024762
0.0004319407	961634.190243
0.0004309909	966269.561466
0.0004300453	970915.136513
0.0004291041	975570.913480
0.0004281672	980236.890485
0.0004272345	984913.065658
0.0004263061	989599.437149
0.0004253818	994296.003123
0.0004244617	999002.761764
0.0004235457	1003719.711271
0.0004226338	1008446.849859
0.0004217260	1013184.175761
0.0004208223	1017931.687224
0.0004199226	1022689.382514
0.0004190268	1027457.259910
0.0004181350	1032235.317710
0.0004172472	1037023.554225
0.0004163633	1041821.967784
0.0004154832	1046630.556731
0.0004146070	1051449.319424
0.0004137346	1056278.254238
0.0004128660	1061117.359564
0.0004120012	1065966.633807
0.0004111402	1070826.075386
0.0004102828	1075695.682738
0.0004094292	1080575.454313
0.0004085792	1085465.388576
0.0004077329	1090365.484007
0.0004068902	1095275.739101
0.0004060511	1100196.152367
0.0004052156	1105126.722329
0.0004043836	1110067.447525
0.0004035552	1115018.326508
0.0004027302	1119979.357844
0.0004019088	1124950.540114
0.0004010908	1129931.871913
0.0004002762	1134923.351849
0.0003994650	1139924.978547
0.0003986573	1144936.750641
0.0003978529	1149958.666783
0.0003970518	1154990.725635
0.0003962541	1160032.925876
0.0003954596	1165085.266196
0.0003946685	1170147.745299
0.0003938806	1175220.361904
0.0003930959	1180303.114739
0.0003923144	1185396.002551
0.0003915362	1190499.024094
0.0003907611	1195612.178140
0.0003899892	1200735.463470
0.0003892204	1205868.878881
0.0003884547	1211012.423180
0.0003876922	1216166.095190
0.0003869327	1221329.893743
0.0003861762	1226503.817685
0.0003854228	1231687.865876
0.0003846724	1236882.037185
0.0003839250	1242086.330497
0.0003831806	1247300.744707
0.0003824391	1252525.278722
0.0003817006	1257759.931462
0.0003809650	1263004.701860
0.0003802324	1268259.588858
0.0003795026	1273524.591412
0.0003787756	1278799.708490
0.0003780516	1284084.939071
0.0003773303	1289380.282146
0.0003766119	1294685.736717
0.0003758963	1300001.301799
0.0003751834	1305326.976416
0.0003744734	1310662.759606
0.0003737660	1316008.650416
0.0003730614	1321364.647907
0.0003723596	1326730.751150
0.0003716604	1332106.959226
0.0003709639	1337493.271228
0.0003702701	1342889.686260
0.0003695789	1348296.203438
0.0003688903	1353712.821887
0.0003682044	1359139.540745
0.0003675211	1364576.359158
0.0003668403	1370023.276286
0.0003661622	1375480.291297
0.0003654866	1380947.403371
0.0003648135	1386424.611699
0.0003641430	1391911.915480
0.0003634750	1397409.313927
0.0003628094	1402916.806260
0.0003621464	1408434.391712
0.0003614858	1413962.069524
0.0003608277	1419499.838950
0.0003601720	1425047.699251
0.0003595188	1430605.649701
0.0003588679	1436173.689583
0.0003582195	1441751.818188
0.0003575734	1447340.034820
0.0003569297	1452938.338791
0.0003562884	1458546.729423
0.0003556494	1464165.206050
0.0003550127	1469793.768012
0.0003543783	1475432.414662
0.0003537463	1481081.145361
0.0003531165	1486739.959479
0.0003524891	1492408.856398
0.0003518638	1498087.835506
0.0003512409	1503776.896204
0.0003506201	1509476.037900
0.0003500016	1515185.260013
0.0003493853	1520904.561969
0.0003487712	1526633.943205
0.0003481593	1532373.403167
0.0003475496	1538122.941310
0.0003469421	1543882.557098
0.0003463366	1549652.250004
0.0003457334	1555432.019511
0.0003451322	1561221.865109
0.0003445332	1567021.786298
0.0003439363	1572831.782588
0.0003433414	1578651.853496
0.0003427487	1584481.998548
0.0003421580	1590322.217280
0.0003415694	1596172.509236
0.0003409828	1602032.873968
0.0003403983	1607903.311037
0.0003398158	1613783.820014
0.0003392353	1619674.400476
0.0003386568	1625575.052010
0.0003380803	1631485.774212
0.0003375058	1637406.566684
0.0003369332	1643337.429040
0.0003363626	1649278.360898
0.0003357940	1655229.361889
0.0003352273	1661190.431648
0.0003346625	1667161.569820
0.0003340997	1673142.776059
0.0003335387	1679134.050026
0.0003329797	1685135.391389
0.0003324225	1691146.799827
0.0003318673	1697168.275025
0.0003313139	1703199.816676
0.0003307623	1709241.424480
0.0003302126	1715293.098148
0.0003296648	1721354.837395
0.0003291187	1727426.641948
0.0003285745	1733508.511537
0.0003280321	1739600.445904
0.0003274915	1745702.444796
0.0003269527	1751814.507969
0.0003264157	1757936.635186
0.0003258804	1764068.826218
0.0003253470	1770211.080842
0.0003248152	1776363.398845
0.0003242852	1782525.780021
0.0003237570	1788698.224169
0.0003232305	1794880.731097
0.0003227057	1801073.300622
0.0003221826	1807275.932567
0.0003216612	1813488.626760
0.0003211415	1819711.383040
0.0003206235	1825944.201252
0.0003201071	1832187.081246
0.0003195925	1838440.022883
0.0003190795	1844703.026027
0.0003185681	1850976.090553
0.0003180584	1857259.216341
0.0003175503	1863552.403278
0.0003170438	1869855.651259
0.0003165390	1876168.960184
0.0003160358	1882492.329962
0.0003155341	1888825.760508
0.0003150341	1895169.251744
0.0003145357	1901522.803599
0.0003140388	1907886.416010
0.0003135435	1914260.088917
0.0003130497	1920643.822271
0.0003125576	1927037.616027
0.0003120669	1933441.470148
0.0003115778	1939855.384604
0.0003110903	1946279.359370
0.0003106042	1952713.394429
0.0003101197	1959157.489770
0.0003096367	1965611.645388
0.0003091552	1972075.861287
0.0003086751	1978550.137474
0.0003081966	1985034.473965
0.0003077196	1991528.870782
0.0003072440	1998033.327952
0.0003067699	2004547.845509
